Iteration,Accuracy,J,F1
0,0.16397882251316548,0.5644589381801723,0.2876474059037846
5,0.16401820547180268,0.30091419368062206,0.2134330717955191
10,0.1090734221005748,0.16183775866911984,0.25492768433533286
15,0.10953432273558301,0.08926406599391026,0.17492089740361919
20,0.09967044842224038,0.05895443346365562,0.19473426586198475
25,0.04771486361004712,0.053334445823161915,0.11065617124195537
30,0.04706064429086612,0.05296376715034604,0.15166611430295027
35,0.04821979686315374,0.05303437072984611,0.017912204483568846
40,0.04821979686315374,0.05362773297451743,0.017912204483568846
45,0.04821979686315374,0.05795904225094678,0.017912204483568846
50,0.04821979686315374,0.0573785147514227,0.017912204483568846
55,0.04821979686315374,0.05704258470767746,0.017912204483568846
60,0.04821979686315374,0.056120601487721286,0.017912204483568846
65,0.04821979686315374,0.060743306924038135,0.017912204483568846
70,0.04821979686315374,0.05821562768936877,0.017912204483568846
75,0.04821979686315374,0.05876361406039553,0.017912204483568846
80,0.04821979686315374,0.05796870129408536,0.017912204483568846
85,0.04821979686315374,0.06205741050969301,0.017912204483568846
90,0.04821979686315374,0.058156066846234346,0.017912204483568846
95,0.04821979686315374,0.05898227769057406,0.017912204483568846
100,0.04821979686315374,0.05815652778321209,0.017912204483568846
105,0.04821979686315374,0.06255680056768789,0.017912204483568846
110,0.04821979686315374,0.05852187051207049,0.017912204483568846
115,0.04821979686315374,0.05929928254419439,0.017912204483568846
120,0.04821979686315374,0.05964850805323481,0.017912204483568846
125,0.04821979686315374,0.06282916950303197,0.017912204483568846
130,0.04821979686315374,0.05831240448446785,0.017912204483568846
135,0.04821979686315374,0.060508894929233656,0.017912204483568846
140,0.04821979686315374,0.060651544460957996,0.017912204483568846
145,0.04821979686315374,0.062062276021937014,0.017912204483568846
150,0.04821979686315374,0.058812567088338784,0.017912204483568846
155,0.04821979686315374,0.060689620867206445,0.017912204483568846
160,0.04821979686315374,0.061945812243407845,0.017912204483568846
165,0.04821979686315374,0.06268442700573428,0.017912204483568846
170,0.04821979686315374,0.059254087191551806,0.017912204483568846
175,0.04821979686315374,0.060635861071350605,0.017912204483568846
180,0.04821979686315374,0.06256831429626662,0.017912204483568846
185,0.04821979686315374,0.06181013202892531,0.017912204483568846
190,0.04821979686315374,0.060272892238450136,0.017912204483568846
195,0.04821979686315374,0.06115501253604891,0.017912204483568846
200,0.04821979686315374,0.06376862867053344,0.017912204483568846
205,0.04821979686315374,0.06294543874065217,0.017912204483568846
210,0.04821979686315374,0.06147347848218367,0.017912204483568846
215,0.04821979686315374,0.06114668751879237,0.017912204483568846
220,0.04821979686315374,0.06434662259042044,0.017912204483568846
225,0.04821979686315374,0.06396886467593291,0.017912204483568846
230,0.04821979686315374,0.06183812227790521,0.017912204483568846
