Iteration,Accuracy,J,F1
0,0.15618722418891384,0.30878045287188305,0.22621762689502276
5,0.13497735142023076,0.16231907281456986,0.10504424429553968
10,0.12747030113117702,0.09299921652528954,0.22216668968377193
15,0.10449338340223331,0.05448478768981949,0.25727438143423514
20,0.07365695637359873,0.03585327836681024,0.17714967081176566
25,0.0021044844678171017,0.02734081001834677,0.173472106869526
30,0.0010522422339085508,0.023335136637863713,0.1735666321526624
35,0.0,0.021337012312422562,0.0
40,0.0,0.02034330469454752,0.0
45,0.0,0.01985023892744659,0.0
50,0.0,0.019596809009664037,0.0
55,0.0,0.019453529993693656,0.0
60,0.0,0.01939967524148573,0.0
65,0.0,0.019380843564673626,0.0
70,0.0,0.019383040914639424,0.0
75,0.0,0.019397009776204007,0.0
80,0.0,0.019418961071248596,0.0
85,0.0,0.019453343040690022,0.0
90,0.0,0.019483929094547252,0.0
95,0.0,0.01952256518178525,0.0
100,0.0,0.019558741522812503,0.0
105,0.0,0.019602716902976637,0.0
110,0.0,0.019643468483900937,0.0
115,0.0,0.01969096962268412,0.0
120,0.0,0.019733762383849933,0.0
125,0.0,0.019777505936398022,0.0
130,0.0,0.01983110999768382,0.0
135,0.0,0.019882060133911653,0.0
140,0.0,0.019928900663398478,0.0
145,0.0,0.019976233222345235,0.0
150,0.0,0.02003486781845648,0.0
155,0.0,0.020089428584620556,0.0
160,0.0,0.020142439842496057,0.0
165,0.0,0.020195889714978557,0.0
170,0.0,0.020257686623835255,0.0
175,0.0,0.020317166323520593,0.0
180,0.0,0.02037500843428564,0.0
185,0.0,0.020432316665054268,0.0
190,0.0,0.02049956647616676,0.0
195,0.0,0.020561019904795787,0.0
200,0.0,0.020624341866587088,0.0
205,0.0,0.020685945095375212,0.0
210,0.0,0.020756326827045975,0.0
215,0.0,0.020823132861873043,0.0
220,0.0,0.020888407881025715,0.0
225,0.0,0.02095600495018001,0.0
230,0.0,0.021030018099229993,0.0
235,0.0,0.02109954051482796,0.0
240,0.0,0.021168092703693124,0.0
245,0.0,0.02124222986014414,0.0
250,0.0,0.021318433808048855,0.0
255,0.0,0.02139335424478888,0.0
260,0.0,0.02146228853361326,0.0
265,0.0,0.0215456150434847,0.0
270,0.0,0.021623371284477236,0.0
275,0.0,0.021701195567188563,0.0
280,0.0,0.021771693479339837,0.0
285,0.0,0.021863167666665892,0.0
290,0.0,0.021944297136001184,0.0
295,0.0,0.022022917287988306,0.0
300,0.0,0.02210264149361533,0.0
305,0.0,0.022191276903313926,0.0
310,0.0,0.022278039633315958,0.0
315,0.0,0.022359179178895267,0.0
320,0.0,0.022445574235259707,0.0
325,0.0,0.022536219595712878,0.0
330,0.0,0.022627563138428248,0.0
335,0.0,0.022711035297332358,0.0
340,0.0,0.02279797439251899,0.0
345,0.0,0.022897279952008357,0.0
350,0.0,0.022988157462483137,0.0
355,0.0,0.02307574701488157,0.0
360,0.0,0.023166125729804442,0.0
365,0.0,0.02326456511644078,0.0
370,0.0,0.023360329495066154,0.0
375,0.0,0.023453912960030347,0.0
380,0.0,0.02354669282174339,0.0
385,0.0,0.023648511467360488,0.0
390,0.0,0.023745518401134324,0.0
395,0.0,0.023844028579987818,0.0
400,0.0,0.023939143018784765,0.0
405,0.0,0.024044199518539543,0.0
410,0.0,0.02414530404907262,0.0
415,0.0,0.024244896632072386,0.0
420,0.0,0.02434387586108561,0.0
425,0.0,0.0244511976364476,0.0
430,0.0,0.024554006565554592,0.0
435,0.0,0.024654206814359227,0.0
440,0.0,0.024758227675415263,0.0
445,0.0,0.024869124806497903,0.0
450,0.0,0.02497180038936175,0.0
455,0.0,0.02507418816430367,0.0
460,0.0,0.0251863016284132,0.0
465,0.0,0.025295889835669508,0.0
