Iteration,Accuracy,J,F1
0,0.0756405082658575,0.26351442101423594,0.1285264620434565
5,0.052526118680219704,0.15139162091611072,0.10672092016792656
10,0.10837680923143392,0.09335559067382188,0.17868686950584303
15,0.04347647425080298,0.05958152750597146,0.14114464962524392
20,0.08907060591137232,0.04095526115670287,0.18051421702594486
25,0.04285601772105622,0.03043669988479626,0.18669948750834173
30,0.053714080132058244,0.024599885221797655,0.26592122313209954
35,0.021104532374526568,0.021661170220392822,0.2465065451776964
40,0.013462628597059637,0.020001316509049342,0.13909014023779026
45,0.006799103665255241,0.019304288201125234,0.09730007911342398
50,0.0022663678884184343,0.019073396742365037,0.09404393925256686
55,0.0022663678884183923,0.019005824670064307,0.1068325893721734
60,0.0,0.019222761836293407,0.10931634509504082
65,0.0022663678884184343,0.019559293981849083,0.11023134735885051
70,0.0022663678884184343,0.02008798257239845,0.11132001137093334
75,0.0022663678884184343,0.020685434457631182,0.1118319084876576
80,0.0,0.021378612973650374,0.11723478305879631
85,0.0,0.02216886132885472,0.11723478305879631
90,0.0,0.023054470847375608,0.11723478305879631
95,0.009065471553673718,0.024034587208372933,0.14249777355774565
100,0.009065471553673718,0.02507887956517641,0.14249777355774565
105,0.009065471553673718,0.026189311051888136,0.14249777355774565
110,0.01346262859705968,0.027366082714125148,0.23484738754173126
115,0.017947900295347666,0.028625206165215834,0.23303269294294665
120,0.028960396486686878,0.029943287416105458,0.23677512351554716
125,0.028552123773102116,0.03134658915340601,0.23210308362776996
130,0.030921004644479364,0.03279155981909907,0.2358958062545767
135,0.037289451502909104,0.03430613546623434,0.2302825337279511
140,0.03749549924463965,0.035878741691393816,0.23415390445498374
145,0.045641938810472196,0.037503505382455934,0.22277000198867936
150,0.049111278504440845,0.03924116560130052,0.20770879392658428
155,0.053495061563864146,0.04099833138077723,0.20585259904089795
160,0.06608651484494037,0.04281620533890366,0.2031874202833416
165,0.06405103240052588,0.044678606013491495,0.20289804615389717
170,0.07459365990396198,0.046602042026468365,0.2028487941310253
175,0.0870162161594406,0.04862608812807445,0.21561373554877247
180,0.09553755487685185,0.050652969604023296,0.21182964924763373
185,0.09936266683437782,0.05274982799054376,0.1938240781937684
190,0.10706896500222596,0.05488457743615997,0.18850933547974308
195,0.11185851517060992,0.05706885925275205,0.17869387671801285
200,0.12727455311997288,0.059305602444196144,0.1804260109421471
205,0.13011399442425925,0.06156171134204865,0.14875567967515227
210,0.1389604868520931,0.06386156128175918,0.14570729636307062
215,0.13728973950894552,0.0661998448158266,0.13905865133375514
220,0.1341129643884455,0.06856179439302758,0.16745050209056353
225,0.1352651985756588,0.07093178789705858,0.16561992343501894
230,0.1350290174019194,0.0733238191244233,0.1622047476996609
235,0.13922425932068874,0.07573603144845223,0.1589704802720754
240,0.13936912138586285,0.07814799819331232,0.13835827256932112
245,0.1394954235268481,0.08058860973878124,0.11435396691472513
250,0.14321221546633905,0.08298067371109276,0.11971560916659144
255,0.14593267356769163,0.08537855430112072,0.11153929196697404
260,0.15713068935191302,0.0878006194616915,0.11500973927557803
265,0.15467382672576727,0.09018119267130695,0.1270447102138826
270,0.16380458508956697,0.0925622937876333,0.12745367329267981
275,0.1618034304290837,0.09486911388263354,0.15253250534559695
280,0.16388743625713936,0.09718170954847766,0.14824582655505997
285,0.16428766675307133,0.09946853967227261,0.15361967734709442
290,0.16140385911961874,0.10172385023132682,0.14391995563972843
295,0.1631042745222437,0.10394560708645635,0.14304216183039759
300,0.16335825940762885,0.1061050691008259,0.14263043198216485
305,0.16218392109070195,0.1082366825664637,0.137414385286875
310,0.15317456819673442,0.11032151691623086,0.12216106638378188
315,0.1452901670716026,0.11234824426361653,0.10889698098998579
320,0.13238382325681658,0.11436541271990773,0.08859327647687656
325,0.13301144136272522,0.11630175138120209,0.08781579657629081
330,0.12513494172101924,0.11821304669174675,0.07733843325221786
335,0.12499412966397877,0.1200501180245718,0.07563134657862455
340,0.12092117220054133,0.12182891912291739,0.07286476422037988
345,0.11223834144245444,0.12361793076771924,0.06371174048868486
350,0.11281218750501462,0.12530809537777124,0.062421220780276565
355,0.10802756119456872,0.12696544349057218,0.054385922410431255
360,0.10991300127873235,0.12854999953949126,0.05952837813644657
365,0.10953850955535296,0.13008879571649734,0.05504029686066283
370,0.10249253455415679,0.1316177006531484,0.04939911132293377
375,0.09951025349846625,0.13305860115250698,0.046746517996405376
380,0.10001041905898182,0.1344723616753715,0.0452044699862845
385,0.09939220169921509,0.1358266402198513,0.04508966085573713
390,0.10111949095556695,0.1371328611002879,0.0476705068780426
395,0.10826842562111567,0.1384029233623953,0.05244805479098524
400,0.10557827695620815,0.13962353865810487,0.05391150098655593
405,0.10643659478091358,0.14080401735090467,0.054784004815151756
410,0.10437953735366304,0.1419345219500087,0.0540806167470315
415,0.09733327326430054,0.14303663293300709,0.05138526650963939
420,0.09616910745799015,0.14410521082845548,0.05301197361759364
425,0.09492112740738838,0.14511735822708147,0.053911467042567364
430,0.09400842173344962,0.1461059205232763,0.05275066977615837
435,0.09245003270420485,0.14705273882095155,0.05470354459311505
440,0.09123563457470281,0.1479623742990266,0.05601799024067444
445,0.09263636414121429,0.14887526930618672,0.05466182828315152
450,0.09283022635512223,0.14971653171932253,0.057177287874980665
455,0.09433179030904555,0.15055465311714572,0.05853574466994841
460,0.09959870052296206,0.1513326940607759,0.060714807120405924
465,0.10106142218847512,0.15212796590556266,0.06235106963166953
470,0.09804310029928505,0.1529028275481453,0.06026878004749059
475,0.10172721176189138,0.15362351757628123,0.06268992482301199
480,0.10172721176189138,0.1543525952080933,0.06268992482301199
485,0.101918181281738,0.15501947482560322,0.06337765222089504
490,0.10298890392986938,0.1557276275736881,0.06494249586499865
495,0.1032486314245817,0.15640948204972432,0.06504783706566397
500,0.10270351674064994,0.15706735096360427,0.06446110629022808
505,0.10270351674064994,0.15771415707822797,0.06446110629022808
510,0.10023394725071724,0.1583453873525429,0.06545106497543238
515,0.10123915259718833,0.15898246567156152,0.06817851061702909
520,0.10146720568364775,0.1596205345362847,0.06636232979467553
525,0.10372723598602744,0.16024829344606406,0.06889333025159221
530,0.10336227882434038,0.16087959701996396,0.07004084933462364
535,0.1058177821744819,0.16150025886572014,0.0700719870217551
540,0.10834972349299621,0.16210725412289595,0.07236602425952873
545,0.10856959952585296,0.16272525404565677,0.07241073419298691
550,0.11033611034549222,0.16335677848938449,0.07274482404920841
555,0.10982952007904208,0.16399928982826348,0.0731364452266938
560,0.10982952007904208,0.16462683242170387,0.0731364452266938
565,0.11430803720304182,0.1652445515569789,0.07549857497309899
570,0.11393833099710042,0.16588720714764413,0.07444091548406184
575,0.11393833099710042,0.16652571388420606,0.07444091548406184
580,0.11393833099710042,0.16718341236498604,0.07444091548406184
585,0.11472133330305428,0.16783660261020628,0.07501938543495826
590,0.11479486545395622,0.1684773536094692,0.07540089702353205
595,0.11494817233718531,0.1691484060856515,0.07509661104756676
600,0.11471813518384198,0.16981367908311157,0.07410063959297354
605,0.11471813518384198,0.1704819228687262,0.07410063959297354
610,0.11471813518384198,0.17116068054831943,0.07410063959297354
615,0.11512677234642033,0.17183955544341767,0.07467452136634592
620,0.11599350940343604,0.17252273441082222,0.0756508285222853
625,0.11548632066252347,0.1732003946877886,0.07493916977656177
630,0.11634407257545715,0.17389212637216384,0.0759032716323192
635,0.11723936639853777,0.17457246406332724,0.07691069946919468
640,0.11792271074161388,0.1752722573551834,0.07734118107052095
645,0.11792271074161388,0.17596493497490856,0.07734118107052095
650,0.11777327591428793,0.17663319767186692,0.07712445368439208
655,0.11692287107976232,0.1773088035056591,0.07498936022296997
660,0.11740198176217843,0.17799223078371446,0.07598902867723968
665,0.11685067805440105,0.17867489679754447,0.07330183081916064
670,0.11685067805440105,0.17933843259463725,0.07330183081916064
675,0.11685067805440105,0.17999343768106932,0.07330183081916064
680,0.1162936061315817,0.18062928975636638,0.07273824008506871
685,0.11685067805440105,0.18127337090166712,0.07330183081916064
690,0.11698874754330726,0.18189258647279105,0.07263192952404665
695,0.11652053300036208,0.18250670390872112,0.07058389435310662
