Iteration,Accuracy,J,F1
0,0.29985107821759993,0.6692472318292468,0.34308670927479856
1,0.36525922490171847,0.5995722377908462,0.36549386183541366
2,0.3532015511670546,0.554143060280241,0.36769003944006284
3,0.3452349449182876,0.5118053993201171,0.32431014004969594
4,0.36911539520223613,0.4751380884233517,0.30121660220362423
5,0.3629773049571198,0.43825395948873597,0.27078738246386314
6,0.35779477521815367,0.40444714541586746,0.23363848651178912
7,0.35615455049565015,0.3745783247486026,0.21262022377500606
8,0.36401716080691254,0.34592456433083074,0.22864119738348765
9,0.3655114057764717,0.319577869082307,0.21547482076749608
10,0.3659849016786792,0.2968423084122345,0.22067401082700572
11,0.2841309937265366,0.2759212697342884,0.23777228318435936
12,0.27976362427685325,0.2565241278138987,0.21333384566503616
13,0.27911693931416987,0.2397050449372994,0.3311809053216353
14,0.27814544627786364,0.22494377962330586,0.32950792234737486
15,0.26111071665358376,0.21146357945462613,0.3147479272291353
16,0.004591602475237364,0.1997666890065688,0.13634063832703613
17,0.002295801237618689,0.18951874090569684,0.15540524355210134
18,0.0011479006188093567,0.18013372801615932,0.1657763518978119
19,0.0011479006188093567,0.17219952660105822,0.1657763518978119
20,0.0011479006188093567,0.16510969103709075,0.1657763518978119
21,0.0011479006188093567,0.15870163044352142,0.1657763518978119
22,0.0,0.15308625614017182,0.0
23,0.0,0.14803902657418455,0.0
24,0.0,0.1434302253995149,0.0
25,0.0,0.1392185527706128,0.0
26,0.0,0.13539075118129143,0.0
27,0.0,0.1318541871000829,0.0
28,0.0,0.1285086661557427,0.0
29,0.0,0.12537356828728818,0.0
30,0.0,0.12245875501618238,0.0
31,0.0,0.11964668707408085,0.0
32,0.0,0.11695571146405906,0.0
33,0.0,0.11442218492168582,0.0
34,0.0,0.11194726583219822,0.0
35,0.0,0.10955564023426739,0.0
36,0.0,0.10725957010705518,0.0
37,0.0,0.1050100048857965,0.0
38,0.0,0.10285767516665553,0.0
39,0.0,0.1007286170991186,0.0
40,0.0,0.09866566917586346,0.0
41,0.0,0.09668965357666857,0.0
42,0.0,0.09470311870572377,0.0
43,0.0,0.0927740213254962,0.0
44,0.0,0.09094222330082638,0.0
45,0.0,0.08908572808725204,0.0
46,0.0,0.08729389089216381,0.0
47,0.0,0.08556636748265167,0.0
48,0.0,0.08385442058807918,0.0
49,0.0,0.08216280072489227,0.0
50,0.0,0.08055887700543364,0.0
51,0.0,0.07897944882945486,0.0
52,0.0,0.07738950740229184,0.0
53,0.0,0.07587643035284765,0.0
54,0.0,0.07440711984805559,0.0
55,0.0,0.0729023588784368,0.0
56,0.0,0.07151500640456313,0.0
57,0.0,0.07014893987450548,0.0
58,0.0,0.06874958196129995,0.0
59,0.0,0.06744564057507653,0.0
60,0.0,0.0661989698175272,0.0
61,0.0,0.06485029278335912,0.0
62,0.0,0.06365487609546824,0.0
63,0.0,0.06249990861162097,0.0
64,0.0,0.061248694156757516,0.0
65,0.0,0.06011490119400275,0.0
66,0.0,0.05904722829609252,0.0
67,0.0,0.057838301120413736,0.0
68,0.0,0.05678341471465091,0.0
69,0.0,0.05585655523024856,0.0
70,0.0,0.05471955140892328,0.0
71,0.0,0.05371617909153177,0.0
72,0.0,0.052889420505930956,0.0
73,0.0,0.051822697503027655,0.0
74,0.0,0.05085527360027136,0.0
75,0.0,0.05010966291030375,0.0
76,0.0,0.04912689779545851,0.0
77,0.0,0.0481992360194482,0.0
78,0.0,0.04754544671844931,0.0
79,0.0,0.046623362498704295,0.0
80,0.0,0.04575382841651489,0.0
81,0.0,0.04510901581241109,0.0
82,0.0,0.04427058224465762,0.0
