Iteration,Accuracy,J,F1
0,0.13796206388409324,0.16401861982226848,0.061865985981709164
5,0.14633086637840104,0.13831780514690273,0.06561878731868766
10,0.14633086637840104,0.11626391488003114,0.06561878731868766
15,0.14648576270128782,0.09834996573867812,0.2060581029572287
20,0.14633086637840104,0.08276921376498513,0.2051832661203416
25,0.14136219438275788,0.0685959147902349,0.2755001857188839
30,0.12593981309383004,0.05698658829745399,0.253145652525824
35,0.10073909398335938,0.04861387230450323,0.18219520576927384
40,0.09894594508412592,0.04072880695352367,0.2522081360206835
45,0.06246677475710125,0.0337636016057381,0.22063495241051134
50,0.02314932914598818,0.0283332525677285,0.06678785569691893
55,0.01788811797644538,0.024487500758118334,0.08666512437701959
60,0.008944058988222663,0.020818261789110795,0.1346253583949576
65,0.004208968935634194,0.017797879159786853,0.16315898318788954
70,0.0005261211169542697,0.015479243250762534,0.17519036620041664
75,0.0005261211169542697,0.013907464942113269,0.17519036620041664
80,0.0,0.012600106260513692,0.0
85,0.0,0.011575816693323575,0.0
90,0.0,0.010898807515115199,0.0
95,0.0,0.01040761695366048,0.0
100,0.0,0.010060386352281072,0.0
105,0.0,0.009916224575004615,0.0
110,0.0,0.00982967301659795,0.0
115,0.0,0.009707022454247984,0.0
120,0.0,0.009660263948468395,0.0
125,0.0,0.009772852899887538,0.0
130,0.0,0.009790373863171843,0.0
135,0.0,0.009738894059374873,0.0
140,0.0,0.009782393427549992,0.0
145,0.0,0.009905596575766392,0.0
150,0.0,0.009922353161124503,0.0
155,0.0,0.009911374199069897,0.0
160,0.0,0.00995576520245153,0.0
165,0.0,0.010051245746734116,0.0
170,0.0,0.01007491474375288,0.0
175,0.0,0.010081596451561302,0.0
180,0.0,0.010122348288961473,0.0
185,0.0,0.010181743834991423,0.0
190,0.0,0.010193408464916136,0.0
195,0.0,0.010211463878119708,0.0
200,0.0,0.01024853401222629,0.0
205,0.0,0.010288363669822354,0.0
210,0.0,0.010299248117763551,0.0
215,0.0,0.010317980187285882,0.0
220,0.0,0.010355801183701656,0.0
225,0.0,0.010386798329531878,0.0
230,0.0,0.010393940437200122,0.0
235,0.0,0.010416709769566386,0.0
240,0.0,0.010454283240420819,0.0
245,0.0,0.010490193086676734,0.0
250,0.0,0.010493798280474424,0.0
255,0.0,0.010523120123171376,0.0
260,0.0,0.010556692711760931,0.0
265,0.0,0.010582392679793233,0.0
270,0.0,0.010597286312443518,0.0
275,0.0,0.010623387903089372,0.0
280,0.0,0.010654096354238038,0.0
285,0.0,0.010682685061386496,0.0
290,0.0,0.010703584724275789,0.0
295,0.0,0.010727170429602065,0.0
300,0.0,0.010756218284213087,0.0
305,0.0,0.010784103772156668,0.0
310,0.0,0.010808253251133394,0.0
315,0.0,0.010832953869867358,0.0
320,0.0,0.010861613337668215,0.0
325,0.0,0.010889554554114111,0.0
330,0.0,0.010915164865393154,0.0
335,0.0,0.010942599241479715,0.0
340,0.0,0.010971465395579525,0.0
345,0.0,0.011000884772731619,0.0
350,0.0,0.011027873326881654,0.0
355,0.0,0.011054743082898942,0.0
360,0.0,0.011084114770260597,0.0
365,0.0,0.011113968483407727,0.0
370,0.0,0.011144054064563225,0.0
375,0.0,0.01117182898705848,0.0
380,0.0,0.01120147819900665,0.0
385,0.0,0.011232727769621033,0.0
390,0.0,0.011263546404927535,0.0
395,0.0,0.011292319443096364,0.0
400,0.0,0.011322996608852855,0.0
405,0.0,0.011354969888804559,0.0
410,0.0,0.011386192449182483,0.0
415,0.0,0.01141693359897605,0.0
420,0.0,0.011448154227180691,0.0
425,0.0,0.011481345126727016,0.0
430,0.0,0.011513499376453493,0.0
435,0.0,0.011545320730145676,0.0
440,0.0,0.01157711794359131,0.0
445,0.0,0.01161199910818017,0.0
450,0.0,0.01164509118421378,0.0
455,0.0,0.01167756625662145,0.0
460,0.0,0.011710339982533926,0.0
465,0.0,0.011746719158316732,0.0
470,0.0,0.011780537336962098,0.0
475,0.0,0.011814555619800271,0.0
480,0.0,0.011847586374989798,0.0
485,0.0,0.011883953391716561,0.0
490,0.0,0.01191985701510866,0.0
495,0.0,0.011954330775855861,0.0
500,0.0,0.011988888394373691,0.0
505,0.0,0.01202688467095762,0.0
510,0.0,0.012062483566866596,0.0
515,0.0,0.012097395287751755,0.0
520,0.0,0.012134438468943869,0.0
525,0.0,0.012172670563938037,0.0
530,0.0,0.012208449463699731,0.0
535,0.0,0.012243931081890393,0.0
540,0.0,0.01228208447826078,0.0
545,0.0,0.01232133400372065,0.0
550,0.0,0.012357906653706107,0.0
555,0.0,0.012394216194510302,0.0
560,0.0,0.01243425375220616,0.0
565,0.0,0.012474801899075773,0.0
570,0.0,0.012510727318979006,0.0
575,0.0,0.012547805785637444,0.0
580,0.0,0.012588998441181064,0.0
585,0.0,0.012630956656808823,0.0
590,0.0,0.012668474814833302,0.0
595,0.0,0.012706078795233798,0.0
600,0.0,0.012748282837250824,0.0
605,0.0,0.012789606995357415,0.0
610,0.0,0.01282850610779365,0.0
615,0.0,0.012868503055530861,0.0
620,0.0,0.012911495785220386,0.0
625,0.0,0.012951954043069371,0.0
630,0.0,0.012992377200299205,0.0
635,0.0,0.013032620999270262,0.0
640,0.0,0.013076708426877253,0.0
645,0.0,0.013118772508282228,0.0
650,0.0,0.013160101627682453,0.0
655,0.0,0.013200811198136755,0.0
660,0.0,0.013246388763359151,0.0
665,0.0,0.013288487530242133,0.0
670,0.0,0.013330637045481111,0.0
675,0.0,0.01337290168042608,0.0
680,0.0,0.013418692408327295,0.0
685,0.0,0.01346234022047608,0.0
690,0.0,0.013505293169262368,0.0
695,0.0,0.013546905375913198,0.0
700,0.0,0.0135933384801998,0.0
705,0.0,0.013638737690358073,0.0
710,0.0,0.013682576263228587,0.0
715,0.0,0.01372611620979552,0.0
720,0.0,0.013773316142788332,0.0
725,0.0,0.01381829153381962,0.0
730,0.0,0.013861610850278181,0.0
735,0.0,0.013907916537447416,0.0
740,0.0,0.013955821978721878,0.0
745,0.0,0.013999991693899672,0.0
750,0.0,0.014044419419688807,0.0
755,0.0,0.014091831548288412,0.0
