Iteration,Accuracy,J,F1
0,0.14159198902165876,0.6795573771417864,0.050426892343955566
5,0.14082902667663988,0.30449033083876154,0.049823689934026576
10,0.1569604568224213,0.16002067490437832,0.19150032093169744
15,0.16606295618774977,0.09495963593105138,0.2196150569672667
20,0.16849827389751215,0.06681474858998378,0.25053148223468424
25,0.1524448949693957,0.052392218692455333,0.2503144205657528
30,0.15049626982119235,0.047464652822477964,0.22404409807777134
35,0.1572303790189698,0.042067839998694456,0.24795775615187735
40,0.148997446277156,0.040067724969349336,0.2356767019208675
45,0.1574591643244434,0.041084753909219965,0.22131331279412458
50,0.12373921428675001,0.041173200041790814,0.21087420838875787
55,0.15468726914775457,0.04341026971633771,0.22882589702764158
60,0.12833248842083755,0.042669930673845356,0.19084109160683707
65,0.09289271441744226,0.043676944725534746,0.16828068082690403
70,0.09476053061690189,0.04766473697606251,0.19007575107098382
75,0.08472222894260872,0.04781270745444763,0.14210678519030034
80,0.07591298993710584,0.05030486501855482,0.1561997186154929
85,0.10430186032079233,0.05106819878363019,0.15476374269721488
90,0.09160537824474888,0.05321843042457278,0.11864566853454572
95,0.08249125655789585,0.05672017706649107,0.12673780574090932
100,0.09160537824474888,0.05694938839540865,0.11864566853454572
105,0.07375602661938031,0.05969509687956353,0.12203555438245259
110,0.08977324099803698,0.061146176144843266,0.1257435828626331
115,0.09574099807184623,0.06342988162709551,0.10787032015144207
120,0.09126912832167973,0.06608140197391013,0.0978531823190259
125,0.08887976717594044,0.0667357714522645,0.1138277847502747
130,0.09126912832167973,0.06915318111850718,0.0978531823190259
135,0.09126912832167973,0.07091921036730243,0.09713311071333612
140,0.08685022791228957,0.07374242998530804,0.10505778104213855
145,0.08627601501816372,0.07481124159337277,0.09640628902075528
150,0.09366318841306845,0.07581487746136935,0.11078277093328605
155,0.08775268746027141,0.07781077397405096,0.09478018215270367
160,0.09505209386270584,0.08002280201335543,0.1016441796072663
165,0.09747941445399161,0.08284013821379131,0.11412662036761435
170,0.10231155067191605,0.08302554848190292,0.11865054202044059
175,0.09747941445399161,0.0838076198038628,0.11352448936910202
180,0.08501205389834561,0.08628863738739553,0.09201276517835784
185,0.0819693568900932,0.08907754127319781,0.0912525663754954
190,0.08066968640371243,0.09154906610895334,0.08494290172209079
195,0.06629174385763441,0.09192286665258344,0.06959383923764027
200,0.06057223081799011,0.0919028884127659,0.06471737805258743
205,0.06057223081799013,0.09490417151425089,0.06360782562621344
210,0.06837507184126522,0.09791564288207137,0.0706723087728553
215,0.07994225654071319,0.10040318346041262,0.08249150451717263
220,0.06571529140516259,0.09988439277933267,0.06659342066106154
225,0.06796916995528442,0.1018963970967555,0.06880632155327045
230,0.07477549315708819,0.10491439386284782,0.07715873794381792
235,0.07477549315708819,0.10674203759523379,0.07715873794381792
240,0.08135283076973404,0.1112969981152763,0.08351202230923849
245,0.07477549315708819,0.11018093405871289,0.07715873794381792
250,0.07477549315708819,0.11249701429851573,0.07715873794381792
255,0.07477549315708819,0.11474799761190517,0.07715873794381792
260,0.07477549315708819,0.11731644155326708,0.07715873794381792
265,0.07477549315708819,0.12320233062426598,0.07715873794381792
270,0.07477549315708819,0.12064286282424527,0.07715873794381792
275,0.07477549315708819,0.12313559514576909,0.07715873794381792
280,0.07477549315708819,0.12554937298009078,0.07715873794381792
285,0.07477549315708819,0.12902330194739747,0.07715873794381792
290,0.0712810957066622,0.1332301227409343,0.07324539809324508
295,0.06057223081799012,0.13076104667265154,0.06309826997848146
300,0.06705836999869447,0.13440162913109507,0.0690525612115543
305,0.05492890710151306,0.13612721855170973,0.057049744700910586
310,0.05368336287980909,0.13890948941182954,0.05456886288315149
315,0.06655211712816589,0.14228852847282134,0.06744295302052673
320,0.057123996625093695,0.1409274067505591,0.057622604298487735
325,0.057123996625093695,0.14424592453338808,0.057622604298487735
330,0.057123996625093695,0.14523761418984082,0.057622604298487735
335,0.05368336287980909,0.14915838703624254,0.05456886288315149
340,0.057123996625093695,0.15017992127567334,0.057622604298487735
345,0.057123996625093695,0.14986010225489232,0.057622604298487735
350,0.057123996625093695,0.1521763717853728,0.057622604298487735
355,0.057123996625093695,0.1538077332953007,0.057622604298487735
360,0.057123996625093695,0.15721260482482574,0.057622604298487735
365,0.057123996625093695,0.15680440912788604,0.057622604298487735
370,0.057123996625093695,0.15629044656803856,0.057622604298487735
375,0.057123996625093695,0.1588085255533072,0.057622604298487735
380,0.05368336287980909,0.1608019864458804,0.05478405037859803
385,0.05368336287980909,0.1628301068666366,0.05478405037859803
390,0.05368336287980909,0.16226299752411336,0.05478405037859803
395,0.057123996625093695,0.16114477187788148,0.057622604298487735
400,0.05368336287980909,0.1628760532828943,0.05478405037859803
405,0.057123996625093695,0.16461459742087797,0.057622604298487735
410,0.05368336287980909,0.16601148145312805,0.05478405037859803
415,0.04563175683013924,0.16395950276481583,0.04453057253474314
420,0.057123996625093695,0.16465586976113816,0.057622604298487735
425,0.04563175683013924,0.16531037927790232,0.04453057253474314
430,0.04563175683013924,0.1653238704757049,0.04453057253474314
435,0.0545920315806995,0.16789246569092078,0.055665659836690376
440,0.048187905459623315,0.16512198149945942,0.04672329635687713
445,0.04356354686101858,0.16533446118401263,0.04275502811060725
450,0.04356354686101858,0.16512192511691606,0.04275502811060725
455,0.04356354686101858,0.1651813797023805,0.04275502811060725
460,0.04356354686101858,0.1682977835954962,0.04275502811060725
465,0.04356354686101858,0.16392116462475184,0.04275502811060725
470,0.04356354686101858,0.16363198190905165,0.04275502811060725
475,0.04356354686101858,0.16341904295987436,0.04275502811060725
480,0.04356354686101858,0.16413306821655405,0.04275502811060725
485,0.04356354686101858,0.16507424768814535,0.04275502811060725
490,0.03186903275265495,0.16104259428159332,0.03179273664037276
495,0.03186903275265495,0.16136350828181784,0.03179273664037276
500,0.03186903275265495,0.16041166841292437,0.03179273664037276
505,0.03186903275265495,0.160621998572733,0.03179273664037276
510,0.03186903275265495,0.16071225185562296,0.03179273664037276
515,0.03186903275265495,0.15763649059103382,0.03179273664037276
520,0.03186903275265495,0.15782286884338811,0.03179273664037276
525,0.03186903275265495,0.15648310845092586,0.03179273664037276
530,0.03186903275265495,0.15737824795080083,0.03179273664037276
535,0.03186903275265495,0.1561031661562166,0.03179273664037276
540,0.03186903275265495,0.15376466006300854,0.03179273664037276
545,0.03186903275265495,0.15345155181140666,0.03179273664037276
550,0.03186903275265495,0.15295585454606936,0.03179273664037276
555,0.03186903275265495,0.15348744410725967,0.03179273664037276
560,0.03186903275265495,0.15148181087482648,0.03179273664037276
565,0.03186903275265495,0.14923769566042022,0.03179273664037276
570,0.03186903275265495,0.1493112320021265,0.03179273664037276
575,0.03186903275265495,0.14928102791605427,0.03179273664037276
580,0.03186903275265495,0.1490794106234186,0.03179273664037276
585,0.03186903275265495,0.14731272650123758,0.03179273664037276
590,0.03186903275265495,0.14508860364112225,0.03179273664037276
595,0.03186903275265495,0.14481158099458058,0.03179273664037276
600,0.03186903275265495,0.1448418965046834,0.03179273664037276
605,0.03186903275265495,0.14457944958226718,0.03179273664037276
610,0.03186903275265495,0.14225061434984537,0.03179273664037276
615,0.03186903275265495,0.14145395783239448,0.03179273664037276
620,0.03186903275265495,0.14071998271696798,0.03179273664037276
625,0.03186903275265495,0.13993027264073699,0.03179273664037276
630,0.03186903275265495,0.14057399023537975,0.03179273664037276
635,0.03186903275265495,0.1381758379218644,0.03179273664037276
640,0.03186903275265495,0.137339134767846,0.03179273664037276
645,0.03186903275265495,0.13665466977625934,0.03179273664037276
650,0.03186903275265495,0.13601719502383824,0.03179273664037276
655,0.03186903275265495,0.13723464744312738,0.03179273664037276
660,0.03186903275265495,0.13407953005458226,0.03179273664037276
665,0.03186903275265495,0.13310377517845015,0.03179273664037276
670,0.03186903275265495,0.13271416134821168,0.03179273664037276
675,0.03186903275265495,0.1327696935938592,0.03179273664037276
680,0.03186903275265495,0.13269760783770007,0.03179273664037276
685,0.03186903275265495,0.1301402285380458,0.03179273664037276
690,0.03186903275265495,0.12970369385815178,0.03179273664037276
695,0.03186903275265495,0.12898831897468627,0.03179273664037276
